1949;2.54;20.21
1950;2.51;19.73
1951;2.53;18.43
1952;2.53;18.08
1953;2.68;19.01
1954;2.78;19.57
1955;2.77;19.58
1956;2.79;19.43
1957;3.09;20.83
1958;3.01;19.73
1959;2.90;18.87
1960;2.88;18.43
1961;2.89;18.31
1962;2.90;18.19
1963;2.89;17.89
1964;2.88;17.60
1965;2.86;17.20
1966;2.88;16.84
1967;2.92;16.56
1968;2.94;16.00
1969;3.09;15.95
1970;3.18;15.52
1971;3.39;15.85
1972;3.39;15.36
1973;3.89;16.59
1974;6.87;26.39
1975;7.67;27.00
1976;8.19;27.26
1977;8.57;26.78
1978;9.00;26.14
1979;12.64;32.98
1980;21.59;49.63
1981;31.77;66.20
1982;28.52;55.98
1983;26.19;49.80
1984;25.88;47.18
1985;24.09;42.40
1986;12.51;21.62
1987;15.40;25.68
1988;12.58;20.14
1989;15.86;24.22
1990;20.03;29.03
1991;16.54;23.00
1992;15.99;21.59
1993;14.25;18.68
1994;13.19;16.86
1995;14.62;18.17
1996;18.46;22.40
1997;17.23;20.39
1998;10.87;12.66
1999;15.56;17.78
2000;26.72;29.54
2001;21.84;23.39
2002;22.51;23.78
2003;27.54;28.42
2004;38.93;54.93
2005;46.47;47.97
2006;58.30;58.30
